time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-19T23:59:33.260Z,19.4033337,-155.2688293,0.27,2.52,ml,27,49,0.005712,0.17,hv,hv70291606,2018-06-20T00:56:58.570Z,"4km SW of Volcano, Hawaii",earthquake,0.17,0.24,0.4,16,automatic,hv,hv
2018-06-19T23:58:58.610Z,33.5186667,-116.565,14.66,0.53,ml,19,66,0.03904,0.15,ci,ci38201080,2018-07-27T04:15:28.220Z,"11km ESE of Anza, CA",earthquake,0.29,0.53,0.075,16,reviewed,ci,ci
2018-06-19T23:54:15.740Z,47.0996667,-122.1003333,3.46,0.61,ml,5,175,0.1167,0.19,uw,uw61387762,2018-06-20T15:46:04.770Z,"5km SE of Prairie Ridge, Washington",earthquake,0.76,13.9,0.206,3,reviewed,uw,uw
2018-06-19T23:52:08.160Z,19.4078331,-155.2558289,0.3,1.73,md,14,148,0.005701,0.17,hv,hv70291576,2018-06-19T23:55:05.550Z,"3km SW of Volcano, Hawaii",earthquake,0.29,0.4,0.07,9,automatic,hv,hv
2018-06-19T23:50:26.970Z,-31.0114,-178.676,104.55,5.2,mb,,55,1.875,0.6,us,us1000evy8,2018-09-19T15:15:49.040Z,"51km NNE of L'Esperance Rock, New Zealand",earthquake,12,5.6,0.046,157,reviewed,us,us
2018-06-19T23:49:30.250Z,19.4203339,-155.2648315,1.85,2.27,ml,19,81,0.004552,0.12,hv,hv70291566,2018-06-20T07:52:52.748Z,"3km WSW of Volcano, Hawaii",earthquake,0.32,0.36,0.28,11,automatic,hv,hv
2018-06-19T23:49:02.130Z,19.423666,-155.2486725,1.91,2.28,ml,10,230,0.01159,0.19,hv,hv70291561,2018-06-19T23:54:45.230Z,"1km SW of Volcano, Hawaii",earthquake,0.88,0.57,0.34,12,automatic,hv,hv
2018-06-19T23:46:41.980Z,19.4198341,-155.2640076,1.02,2.52,ml,20,62,0.004305,0.13,hv,hv70291556,2018-06-19T23:52:24.810Z,"3km WSW of Volcano, Hawaii",earthquake,0.22,0.19,0.2,7,automatic,hv,hv
2018-06-19T23:46:11.070Z,19.4290009,-155.2893372,2.28,2.64,ml,9,190,0.008171,0.26,hv,hv70291551,2018-06-19T23:52:41.703Z,"5km W of Volcano, Hawaii",earthquake,1.76,0.7,0.4,4,automatic,hv,hv
2018-06-19T23:45:09.410Z,19.4173336,-155.2651672,0.43,2.41,ml,23,69,0.006936,0.15,hv,hv70291546,2018-06-20T00:31:40.534Z,"3km WSW of Volcano, Hawaii",earthquake,0.22,0.16,0.35,14,automatic,hv,hv
2018-06-19T23:43:16.320Z,19.4203339,-155.2655029,0.44,2.2,ml,20,76,0.005077,0.18,hv,hv70291541,2018-06-20T07:46:05.025Z,"3km WSW of Volcano, Hawaii",earthquake,0.26,0.19,0.29,11,automatic,hv,hv
2018-06-19T23:37:55.350Z,19.4088326,-155.2615051,0.22,2.65,ml,38,47,0.003584,0.19,hv,hv70291536,2018-06-19T23:43:39.490Z,"3km SW of Volcano, Hawaii",earthquake,0.27,0.19,2.49,29,automatic,hv,hv
2018-06-19T23:37:53.380Z,56.043,-159.468,0.9,0.95,ml,6,197,0.05649,0.03,av,av70793029,2019-03-07T00:05:43.270Z,"49km WSW of Chignik Lake, Alaska",earthquake,0.49,1.66,0.051,5,reviewed,av,av
2018-06-19T23:37:50.470Z,-55.6933,-26.681,10,4.3,mb,,128,5.82,1.11,us,us1000eyra,2018-09-19T15:15:54.040Z,"116km NNE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,14.2,1.9,0.16,11,reviewed,us,us
2018-06-19T23:37:13.030Z,19.4176674,-155.2675018,1.66,2.94,ml,12,78,0.008178,0.12,hv,hv70291531,2018-06-19T23:43:41.626Z,"3km WSW of Volcano, Hawaii",earthquake,0.28,0.31,0.54,16,automatic,hv,hv
2018-06-19T23:37:05.600Z,52.0303333,-176.1786667,3.03,-0.01,ml,4,280,0.03143,0.06,av,av70793034,2019-03-07T00:05:36.940Z,"36km ENE of Adak, Alaska",earthquake,0.89,0.56,0.109,4,reviewed,av,av
2018-06-19T23:35:22.500Z,38.7915001,-122.7621689,0.66,0.48,md,13,71,0.02019,0.03,nc,nc73032741,2018-06-19T23:37:00.548Z,"2km NNW of The Geysers, CA",earthquake,0.23,0.72,0.16,3,automatic,nc,nc
2018-06-19T23:34:14.330Z,19.4328327,-155.2884979,0.01,1.9,ml,12,84,0.01206,0.13,hv,hv70291521,2018-06-19T23:39:57.890Z,"5km W of Volcano, Hawaii",earthquake,0.24,0.33,0.23,10,automatic,hv,hv
2018-06-19T23:33:02.550Z,35.0438333,-117.679,-0.82,1.42,ml,34,58,0.1101,0.19,ci,ci38201064,2018-07-27T02:57:28.483Z,"6km NNW of Boron, CA",quarry blast,0.37,31.61,0.169,13,reviewed,ci,ci
2018-06-19T23:31:14.630Z,55.1931,-161.38,87.5,1.9,ml,,,,0.44,ak,ak0187tj8n6v,2019-07-01T17:32:42.786Z,"58km WSW of Sand Point, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2018-06-19T23:29:54.780Z,19.373333,-155.3251648,0.94,2.17,ml,10,303,0.03378,0.19,hv,hv70291501,2018-06-20T07:32:32.053Z,"11km SW of Volcano, Hawaii",earthquake,0.62,0.81,0.28,9,automatic,hv,hv
2018-06-19T23:28:08.010Z,19.4085007,-155.2646637,0.65,1.76,ml,10,115,0.01029,0.13,hv,hv70291496,2018-06-19T23:33:50.650Z,"3km SW of Volcano, Hawaii",earthquake,0.38,0.57,0.19,5,automatic,hv,hv
2018-06-19T23:27:18.800Z,37.6368333,-118.8808333,5.56,0.44,md,17,98,0.01478,0.07,nc,nc73032736,2018-06-19T23:38:33.929Z,"9km E of Mammoth Lakes, CA",earthquake,0.36,0.48,0.182,15,reviewed,nc,nc
2018-06-19T23:26:42.570Z,19.4230003,-155.2688293,0.96,2.39,ml,11,75,0.004198,0.12,hv,hv70291491,2018-06-19T23:32:30.180Z,"3km WSW of Volcano, Hawaii",earthquake,0.45,0.21,0.11,4,automatic,hv,hv
2018-06-19T23:26:15.700Z,19.4128342,-155.2855072,-0.38,2.3,ml,20,64,0.004984,0.18,hv,hv70291481,2018-06-19T23:31:59.920Z,"5km WSW of Volcano, Hawaii",earthquake,0.16,0.19,1.94,17,automatic,hv,hv
2018-06-19T23:25:41.880Z,35.8573333,-120.4016667,4.65,0.56,md,24,90,0.02126,0.05,nc,nc73032731,2018-06-20T02:21:04.378Z,"5km SSE of Parkfield, CA",earthquake,0.24,0.4,0.183,9,reviewed,nc,nc
2018-06-19T23:21:35.310Z,32.8046667,-115.5795,9.05,1.26,ml,22,55,0.05442,0.2,ci,ci38201056,2018-07-27T03:06:57.331Z,"3km NW of El Centro, CA",earthquake,0.36,0.8,0.229,13,reviewed,ci,ci
2018-06-19T23:19:23.210Z,32.7926667,-115.5511667,17.23,1.17,ml,8,145,0.08881,0.23,ci,ci37189516,2018-07-27T04:12:35.793Z,"1km NE of El Centro, CA",earthquake,0.87,1.53,0.195,9,reviewed,ci,ci
2018-06-19T23:19:10.300Z,32.8036667,-115.5818333,9.57,1.05,ml,15,104,0.053,0.16,ci,ci38201048,2018-07-27T03:39:12.231Z,"3km NW of El Centro, CA",earthquake,0.35,0.77,0.227,9,reviewed,ci,ci
