time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-19T23:59:51.109Z,35.733,-98.81183333,6.09,2.21,ml,39,83,0.1331738667,0.23,ok,ok2019yuyo,2019-12-20T14:43:42.649Z,"5km WSW of Thomas, Oklahoma",earthquake,,1,0.27,5,reviewed,ok,ok
2019-12-19T23:57:42.710Z,34.0233333,-117.2245,15.79,0.61,ml,16,121,0.09895,0.12,ci,ci39006159,2019-12-20T17:22:25.424Z,"4km SE of Loma Linda, CA",earthquake,0.28,0.68,0.077,9,reviewed,ci,ci
2019-12-19T23:54:32.616Z,65.4912,-163.697,4.3,1.4,ml,,,,0.41,ak,ak019g86q4em,2019-12-22T03:46:02.035Z,"136km NE of Nome, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-12-19T23:49:02.110Z,33.505,-116.4766667,6.55,0.6,ml,24,64,0.04637,0.12,ci,ci39006151,2019-12-20T17:41:09.527Z,"19km ESE of Anza, CA",earthquake,0.17,0.43,0.084,11,reviewed,ci,ci
2019-12-19T23:25:50.670Z,36.46316667,-98.80783333,6.54,1.08,ml,16,129,0.01439717478,0.08,ok,ok2019yuxl,2019-12-20T17:22:17.823Z,"35km E of Mooreland, Oklahoma",earthquake,,0.4,0.1,5,reviewed,ok,ok
2019-12-19T23:17:18.217Z,63.5379,-147.7268,4.5,1.6,ml,,,,0.39,ak,ak019g86i14t,2019-12-22T03:46:01.164Z,"63km ENE of Cantwell, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-12-19T23:14:18.480Z,33.2203333,-116.7423333,11.47,0.75,ml,31,57,0.02081,0.21,ci,ci39006127,2019-12-19T23:18:02.403Z,"3km SE of Lake Henshaw, CA",earthquake,0.35,0.81,0.085,14,automatic,ci,ci
2019-12-19T23:10:15.836Z,51.0513,179.3377,17.6,1.2,ml,,,,0.24,ak,ak019g86gnlw,2019-12-26T21:06:32.876Z,"101km S of Semisopochnoi Island, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2019-12-19T23:04:31.760Z,35.9653333,-117.3266667,5.47,1.51,ml,18,134,0.08214,0.17,ci,ci37431989,2019-12-20T19:52:48.760Z,"23km NNE of Trona, CA",earthquake,0.42,1.18,0.066,6,reviewed,ci,ci
2019-12-19T23:04:15.910Z,35.9611667,-117.3325,3.13,2.16,ml,38,53,0.08064,0.14,ci,ci39006119,2019-12-20T19:38:41.420Z,"22km N of Trona, CA",earthquake,0.14,0.52,0.116,37,reviewed,ci,ci
